Date,Open,High,Low,Close,Adj Close,Volume
2017-04-04,273.299988,281.799988,270.600006,279.100006,151.570068,1045871
2017-04-05,280.399994,283.899994,276.399994,278.950012,151.488617,757684
2017-04-06,278.000000,285.899994,276.649994,284.549988,154.529800,1035782
2017-04-07,282.899994,285.000000,278.000000,281.250000,152.737701,1211061
2017-04-10,278.950012,279.950012,273.399994,273.500000,148.528915,1098652
2017-04-11,273.500000,276.649994,271.500000,275.600006,149.669342,1059244
2017-04-12,277.500000,279.799988,271.250000,275.000000,149.343491,1704596
2017-04-13,276.000000,281.399994,268.250000,274.500000,149.071960,1941793
2017-04-14,275.600006,276.950012,270.149994,270.799988,147.062637,489333
2017-04-17,270.850006,273.799988,269.000000,272.250000,147.850082,307751
2017-04-18,273.750000,275.149994,268.649994,269.100006,146.139420,515097
2017-04-19,270.000000,271.399994,265.500000,268.100006,145.596344,977550
2017-04-20,266.200012,267.049988,263.049988,265.899994,144.401596,609062
2017-04-21,268.049988,270.899994,265.000000,266.549988,144.754578,606860
2017-04-24,269.799988,274.350006,268.000000,274.350006,148.990524,877257
2017-04-25,274.399994,282.000000,271.250000,277.299988,150.592560,1379981
2017-04-26,278.250000,278.549988,273.299988,277.600006,150.755493,1033571
2017-04-27,276.899994,278.799988,273.549988,274.399994,149.017654,699430
2017-04-28,275.799988,280.000000,272.200012,273.850006,148.718979,1187315
2017-05-02,275.200012,277.500000,271.149994,276.000000,149.886566,887607
2017-05-03,270.100006,272.000000,246.000000,247.300003,134.300568,11848101
2017-05-04,248.000000,255.199997,242.300003,246.500000,133.866089,8252970
2017-05-05,244.800003,256.799988,243.550003,256.000000,139.025223,3747091
2017-05-10,260.000000,265.399994,256.000000,256.000000,139.025223,4148411
2017-05-11,257.549988,261.149994,250.899994,253.100006,137.450363,2306331
2017-05-12,253.100006,253.100006,248.100006,250.899994,136.255600,1445611
2017-05-15,249.050003,252.899994,241.149994,246.500000,133.866089,2954480
2017-05-16,247.500000,247.649994,238.750000,241.449997,131.123596,5594347
2017-05-17,240.949997,245.350006,239.600006,243.699997,132.345459,2232031
2017-05-18,241.000000,245.399994,240.350006,244.250000,132.644180,2149401
2017-05-19,244.399994,245.350006,241.000000,242.399994,131.639511,1811060
2017-05-22,242.399994,244.399994,240.649994,243.600006,132.291214,1153960
2017-05-23,242.350006,248.800003,242.350006,246.399994,133.811768,1980932
2017-05-24,243.000000,244.500000,240.699997,243.050003,131.992508,1595870
2017-05-25,243.250000,244.500000,241.550003,242.000000,131.422302,972680
2017-05-26,241.000000,243.399994,240.750000,243.050003,131.992508,1426961
2017-05-29,243.000000,243.899994,241.699997,243.000000,131.965332,473559
2017-05-30,243.000000,247.899994,242.250000,246.050003,133.621719,2204931
2017-05-31,246.100006,248.750000,236.500000,236.500000,128.435425,4500200
2017-06-01,238.149994,242.000000,237.600006,241.050003,130.906357,1527050
2017-06-02,241.750000,249.800003,238.050003,248.800003,135.115128,4143801
2017-06-05,249.000000,253.850006,247.500000,248.699997,135.060822,1845383
2017-06-06,250.149994,253.050003,246.250000,248.050003,134.707840,2255491
2017-06-07,249.050003,253.300003,244.550003,250.000000,135.766830,1670421
2017-06-08,250.000000,251.949997,246.500000,249.000000,144.223282,964273
2017-06-09,248.600006,252.250000,247.000000,252.250000,146.105713,861960
2017-06-13,251.199997,253.500000,248.800003,249.649994,144.599762,1870252
2017-06-14,249.199997,252.350006,245.000000,245.000000,141.906448,1895665
2017-06-15,243.449997,245.899994,235.100006,240.750000,139.444794,5779302
2017-06-16,240.000000,243.750000,237.500000,237.500000,137.562378,2358162
2017-06-19,238.850006,243.000000,238.550003,239.399994,138.662888,1373105
2017-06-20,240.500000,249.000000,239.000000,242.949997,140.719055,3277940
2017-06-21,242.899994,243.300003,239.500000,240.350006,139.213120,878865
2017-06-22,239.899994,243.149994,238.449997,242.000000,140.168823,1096980
2017-06-23,242.300003,246.550003,240.050003,244.300003,141.501038,1267380
2017-06-26,245.750000,246.449997,239.050003,239.050003,138.460144,1824592
2017-06-27,229.000000,235.399994,226.699997,232.000000,134.376724,9724910
2017-06-28,232.000000,235.399994,230.149994,235.050003,136.143295,2132328
2017-06-29,235.449997,237.000000,233.550003,234.000000,135.535141,2005581
2017-06-30,233.649994,237.250000,232.850006,234.500000,135.824738,1979250
2017-07-03,235.000000,237.550003,234.050003,237.000000,137.272781,1911485
2017-07-04,237.250000,239.699997,237.250000,239.500000,138.720795,1672300
2017-07-05,239.300003,240.100006,237.500000,237.550003,137.591324,1919642
2017-07-06,237.050003,239.350006,236.550003,237.550003,137.591324,2678420
2017-07-07,224.800003,226.100006,224.000000,224.050003,138.893173,2397470
2017-07-10,224.699997,226.000000,223.050003,225.600006,139.854034,1521910
2017-07-11,225.649994,228.699997,223.600006,227.949997,141.310837,1839771
